url,affiliate_links,disclosure_present,disclosure_before_first_link,action,status
https://everlasting-goods.com/articles/best-toasters-that-last-a-lifetime,6,True,True,retain standard component,pass
https://everlasting-goods.com/articles/best-buy-it-for-life-alarm-clocks,8,True,True,retain standard component,pass
https://everlasting-goods.com/articles/best-buy-it-for-life-aprons-for-cooking-and-shop-work,6,True,True,retain standard component,pass
https://everlasting-goods.com/articles/best-buy-it-for-life-cast-iron-dutch-ovens,8,True,True,retain standard component,pass
https://everlasting-goods.com/articles/best-buy-it-for-life-bath-towels,6,True,True,retain standard component,pass
https://everlasting-goods.com/articles/best-buy-it-for-life-desk-lamps,6,True,True,retain standard component,pass
https://everlasting-goods.com/articles/best-buy-it-for-life-duffel-bags,6,True,True,retain standard component,pass
https://everlasting-goods.com/categories/kitchen,2,True,True,retain standard component,pass
https://everlasting-goods.com/categories/edc,1,True,True,retain standard component,pass
https://everlasting-goods.com/categories/outdoor,1,True,True,retain standard component,pass
https://everlasting-goods.com/categories/clothing,2,True,True,retain standard component,pass
https://everlasting-goods.com/categories/tools,0,False,True,retain standard component,pass
https://everlasting-goods.com/categories/home,0,False,True,retain standard component,pass
